movieCd,movieNm,director,naver_movieCd,ntz_see_score,spc_score,ntz_score
20161725,마스터,조의석,145162.0,8.65,5.77,8.1
20163183,로그 원: 스타워즈 스토리,가렛 에드워즈,136868.0,8.34,7.16,8.44
20162025,씽,가스 제닝스,144938.0,8.99,6.71,8.96
20144641,판도라,박정우,132933.0,8.78,5.92,8.31
20162727,루돌프와 많이있어,유야마 쿠니히코,153951.0,8.73,6.38,8.8
20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,유야마 쿠니히코,152265.0,8.74,0.0,8.75
20152371,"당신, 거기 있어줄래요",홍지영,145292.0,8.8,5.44,8.68
20165285,극장판 도라에몽: 신 진구의 버스 오브 재팬,야쿠와 신노스케,153279.0,8.68,6.0,8.85
19890291,해리가 샐리를 만났을 때,롭 라이너,10250.0,7.75,8.5,8.9
20161763,"나, 다니엘 블레이크",켄 로치,150376.0,9.28,8.4,9.25
20163014,7년-그들이 없는 언론,김진혁,146526.0,9.48,6.0,8.54
20161084,패신저스,모튼 틸덤,116233.0,8.03,5.5,7.95
20150966,사랑하기 때문에,주지홍,140010.0,8.39,6.0,8.03
20165153,눈의 여왕 3: 눈과 불의 마법대결,알렉세이 트시칠린,156675.0,8.34,0.0,8.57
20151181,여교사,김태용,139673.0,7.31,6.78,6.61
20164421,어쌔신 크리드,저스틴 커젤,118307.0,7.29,5.67,7.1
20168381,얼라이드,로버트 저메키스,149777.0,8.58,6.5,8.86
20168324,반지의 제왕 : 반지원정대 (확장판),피터 잭슨,31794.0,0.0,0.0,9.29
20168664,반지의 제왕 : 두개의 탑 (확장판),피터 잭슨,31795.0,0.0,0.0,9.34
20163186,단지 세상의 끝,자비에 돌란,137958.0,7.66,6.9,7.46
20168689,반지의 제왕 : 왕의 귀환 (확장판),피터 잭슨,31796.0,0.0,0.0,9.37
20168366,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,다라 오코넬,158266.0,8.3,0.0,8.27
