,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
574,레지던트 이블: 파멸의 날,110333,0.0,0.0,4.25
575,트롤,101904,8.18,0.0,6.98
576,패신저스,116233,7.77,2.25,7.42
577,프리즌,146517,7.34,6.17,5.28
578,얼라이드,149777,0.0,0.0,6.06
579,맨체스터 바이 더 씨,137956,6.64,6.0,6.5
580,언프렌드,146361,9.3,6.5,9.18
581,퍼스널 쇼퍼,144221,9.15,6.38,8.99
582,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,9.51,6.2,9.25
583,문라이트,152684,8.27,6.47,8.35
584,미인어,127383,0.0,0.0,6.48
585,가족의 재구성,158634,8.81,7.54,8.75
586,존 윅 - 리로드,143932,8.56,5.22,8.03
587,친구부부 : 욕망의 스와핑,157437,0.0,0.0,0.0
588,사일런스,90922,9.6,0.0,9.39
589,라이언,134841,8.3,0.0,8.27
590,삼소야적검,151132,7.92,4.5,6.45
591,국가의 탄생,143410,7.66,6.9,7.46
592,닥터 스트레인지,125459,9.48,7.0,8.38
593,제리 맥과이어,17942,8.56,5.94,7.94
594,마이펫 오지,157500,8.69,7.08,8.18
595,로건,117787,0.0,0.0,0.0
596,극장판 소드 아트 온라인 -오디널 스케일-,159408,0.0,0.0,5.21
597,그레이의 50가지 그림자,115303,0.0,0.0,8.81
598,아주 긴 변명,154536,8.7,6.0,8.5
599,재심,149512,8.59,6.0,8.38
600,그레이트 월,126034,8.77,6.5,8.05
601,23 아이덴티티,144927,8.65,5.77,8.1
602,싱글라이더,146459,8.59,6.88,8.57
603,스노든,134887,8.78,5.92,8.31
604,트롤,101904,0.0,0.0,6.65
605,언더월드: 블러드 워,137887,0.0,0.0,3.67
606,레고 배트맨 무비,132627,8.07,6.86,7.91
607,녹터널 애니멀스,143409,8.87,0.0,8.73
608,마스터,145162,0.0,0.0,4.25
609,문라이트,152684,8.18,0.0,6.98
610,얼라이드,149777,7.77,2.25,7.42
611,루시드 드림,130713,7.34,6.17,5.28
612,미인어,127383,0.0,0.0,6.06
613,레지던트 이블: 파멸의 날,110333,9.15,6.38,8.99
614,패신저스,116233,7.94,6.5,7.65
615,해빙,137875,9.51,6.2,9.25
616,존 윅 - 리로드,143932,8.27,6.47,8.35
617,언프렌드,146361,0.0,0.0,6.48
618,퍼스널 쇼퍼,144221,9.42,6.93,9.04
619,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,8.81,7.54,8.75
620,삼소야적검,151132,8.56,5.22,8.03
621,라이언,134841,0.0,0.0,0.0
622,마이펫 오지,157500,8.3,0.0,8.27
623,친구부부 : 욕망의 스와핑,157437,9.48,7.0,8.38
624,극장판 소드 아트 온라인 -오디널 스케일-,159408,8.56,5.94,7.94
625,제리 맥과이어,17942,8.69,7.08,8.18
626,아주 긴 변명,154536,0.0,0.0,5.21
627,비정규직 특수요원,152161,8.7,6.0,8.5
628,국가의 탄생,143410,8.86,5.83,8.73
629,재심,149512,8.39,6.83,8.08
